,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
375,1152,128,12100,OS,875487,27476829,0,0.048658873618959174,0.0
376,480,192,144,OS,1485,0,0,0.0,0.0
377,64,64,3136,OS,13000,24850,0,0.0011905209048763737,0.0
378,192,64,1225,OS,15130,0,0,0.0,0.0
379,1152,32,2916,OS,212151,0,0,0.0,0.0
380,576,96,196,OS,2783,0,0,0.0,0.0
381,64,64,2916,OS,12142,23134,0,0.0012762983441995787,0.0
382,4608,512,676,OS,30260,348300,0,0.015878842652568188,0.0
383,96,96,196,OS,1383,0,0,0.0,0.0
384,1280,448,64,OS,364,0,0,0.0,0.0
385,1728,384,9,OS,27,0,0,0.0,0.0
386,704,128,49,OS,257,0,0,0.0,0.0
387,576,64,2916,OS,106350,210526,0,0.0077731314592098715,0.0
388,528,256,144,OS,1494,0,0,0.0,0.0
389,992,128,196,OS,2783,0,0,0.0,0.0
390,1120,160,187,OS,2479,0,0,0.0,0.0
391,600,64,64,OS,328,0,0,0.0,0.0
392,4608,4608,144,OS,3249,135135,0,0.015516493055555556,0.0
393,1200,64,961,OS,59704,0,0,0.0,0.0
394,1296,288,100,OS,849,0,0,0.0,0.0
395,2304,512,676,OS,30260,348300,0,0.015878842652568188,0.0
396,928,128,49,OS,257,0,0,0.0,0.0
397,512,144,144,OS,1476,0,0,0.0,0.0
398,960,320,49,OS,277,0,0,0.0,0.0
399,480,16,144,OS,1449,0,0,0.0,0.0
400,256,128,784,OS,12947,0,0,0.0,0.0
401,768,128,196,OS,2783,0,0,0.0,0.0
402,832,48,25,OS,79,0,0,0.0,0.0
403,576,160,49,OS,261,0,0,0.0,0.0
404,832,192,25,OS,85,0,0,0.0,0.0
405,1280,192,64,OS,340,0,0,0.0,0.0
406,800,128,64,OS,332,0,0,0.0,0.0
407,64,80,5329,OS,22108,3559104,0,0.06048493462702619,0.0
408,1024,256,196,OS,2822,0,0,0.0,0.0
409,416,128,196,OS,2783,0,0,0.0,0.0
410,288,32,21609,OS,390727,29192408,0,0.06011380232963139,0.0
411,528,128,9,OS,21,0,0,0.0,0.0
412,528,32,144,OS,1449,0,0,0.0,0.0
413,800,64,64,OS,328,0,0,0.0,0.0
414,224,128,784,OS,11347,0,0,0.0,0.0
415,960,160,49,OS,261,0,0,0.0,0.0
416,736,128,196,OS,2783,0,0,0.0,0.0
417,64,256,3136,OS,13784,3686760,0,0.05887545072115385,0.0
418,832,256,25,OS,87,0,0,0.0,0.0
419,896,128,49,OS,257,0,0,0.0,0.0
420,1280,1,1,OS,3,0,0,0.0,0.0
421,400,32,484,OS,12831,0,0,0.0,0.0
422,800,128,1,OS,5,0,0,0.0,0.0
423,480,96,144,OS,1467,0,0,0.0,0.0
424,480,128,784,OS,24147,0,0,0.0,0.0
425,480,128,196,OS,2783,0,0,0.0,0.0
426,192,32,1225,OS,15053,0,0,0.0,0.0
427,24,144,3136,OS,5512,2457840,0,0.06107777431421446,0.0
428,320,128,784,OS,16147,0,0,0.0,0.0
429,512,256,784,OS,25894,0,0,0.0,0.0
430,160,960,49,OS,382,0,0,0.0,0.0
431,24,24,3136,OS,4924,0,0,0.0,0.0
432,576,128,196,OS,2783,0,0,0.0,0.0
433,704,128,196,OS,2783,0,0,0.0,0.0
434,768,128,49,OS,257,0,0,0.0,0.0
435,896,128,187,OS,2467,0,0,0.0,0.0
436,1728,192,225,OS,3675,0,0,0.0,0.0
437,288,128,196,OS,2783,0,0,0.0,0.0
438,864,96,1089,OS,60687,0,0,0.0,0.0
439,288,64,21025,OS,381638,55293120,0,0.06007297982595029,0.0
440,464,464,49,OS,289,0,0,0.0,0.0
441,288,48,1225,OS,22618,0,0,0.0,0.0
442,4608,4608,676,OS,38315,3047625,0,0.015878842652568188,0.0
443,576,128,49,OS,257,0,0,0.0,0.0
444,512,32,144,OS,1449,0,0,0.0,0.0
445,232,232,784,OS,11894,0,0,0.0,0.0
446,224,128,3136,OS,44716,1843380,0,0.051454175420168065,0.0
447,4608,512,25,OS,99,0,0,0.0,0.0
448,192,48,1225,OS,15130,0,0,0.0,0.0
449,256,512,3136,OS,52784,7373520,0,0.05018890881147541,0.0
450,320,1280,49,OS,414,0,0,0.0,0.0
451,160,160,49,OS,261,0,0,0.0,0.0
452,832,128,25,OS,81,0,0,0.0,0.0
453,464,464,196,OS,2887,0,0,0.0,0.0
454,384,128,784,OS,19347,0,0,0.0,0.0
455,864,208,100,OS,835,0,0,0.0,0.0
456,512,128,784,OS,25747,0,0,0.0,0.0
457,256,128,676,OS,11393,0,0,0.0,0.0
458,768,128,289,OS,5837,0,0,0.0,0.0
459,544,128,196,OS,2783,0,0,0.0,0.0
460,192,32,676,OS,8491,0,0,0.0,0.0
461,512,24,144,OS,1449,0,0,0.0,0.0
462,400,48,64,OS,328,0,0,0.0,0.0
463,256,48,1225,OS,20122,0,0,0.0,0.0
464,4096,1,1,OS,3,0,0,0.0,0.0
465,192,192,676,OS,8663,0,0,0.0,0.0
466,576,64,49284,OS,1781394,303681846,0,0.06039632801658589,0.0
467,2048,448,64,OS,364,0,0,0.0,0.0
468,144,32,784,OS,7249,0,0,0.0,0.0
469,2048,1,1,OS,3,0,0,0.0,0.0
470,32,16,12544,OS,25904,9833712,0,0.06202037183544304,0.0
471,640,128,49,OS,257,0,0,0.0,0.0
472,1440,320,100,OS,856,0,0,0.0,0.0
473,232,232,196,OS,2822,0,0,0.0,0.0
474,27,27,49284,OS,86295,151840923,0,0.06241137414731245,0.0
475,720,192,5041,OS,229820,7963200,0,0.043874088880015975,0.0
476,144,24,3136,IS,28564,0,0,0.0,0.0
477,256,128,3136,IS,51020,149940,0,0.01556396484375,0.0
478,1152,384,48,IS,4635,0,0,0.0,0.0
479,768,192,289,IS,15455,0,0,0.0,0.0
480,128,128,784,IS,6547,0,0,0.0,0.0
481,832,832,25,IS,3366,0,0,0.0,0.0
482,1344,192,187,IS,17532,0,0,0.0,0.0
483,832,128,196,IS,11687,0,0,0.0,0.0
484,1152,32,144,IS,11529,0,0,0.0,0.0
485,147,147,50176,IS,473683,3214400,0,0.027237457482993197,0.0
486,1152,256,100,IS,9258,0,0,0.0,0.0
487,2304,256,2916,IS,425034,2528694,0,0.015682490819330132,0.0
488,352,128,784,IS,17747,0,0,0.0,0.0
489,160,128,3136,IS,32108,93492,0,0.01552734375,0.0
490,2048,512,49,IS,10288,0,0,0.0,0.0
491,1280,384,64,IS,6436,0,0,0.0,0.0
492,928,128,196,IS,13031,0,0,0.0,0.0
493,800,96,484,IS,25693,0,0,0.0,0.0
494,32,32,784,IS,1649,0,0,0.0,0.0
495,768,160,289,IS,15436,0,0,0.0,0.0
