,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
250,256,512,3136,OS,54020,10445820,0,0.05018890881147541,0.0
251,992,128,49,OS,265,0,0,0.0,0.0
252,288,48,1225,OS,22618,0,0,0.0,0.0
253,256,64,676,OS,11393,0,0,0.0,0.0
254,608,128,49,OS,265,0,0,0.0,0.0
255,768,192,289,OS,5913,0,0,0.0,0.0
256,512,144,144,OS,1485,0,0,0.0,0.0
257,800,128,196,OS,2809,0,0,0.0,0.0
258,864,128,576,OS,21492,0,0,0.0,0.0
259,384,128,784,OS,19445,0,0,0.0,0.0
260,448,128,784,OS,22645,0,0,0.0,0.0
261,64,64,2916,OS,12325,1600335,0,0.0588601167304871,0.0
262,32,16,12544,OS,25904,9833712,0,0.06202037183544304,0.0
263,720,720,5041,OS,236544,38223360,0,0.043874088880015975,0.0
264,864,128,196,OS,2809,0,0,0.0,0.0
265,144,32,784,OS,7298,0,0,0.0,0.0
266,32,32,784,OS,1698,0,0,0.0,0.0
267,768,128,289,OS,5875,0,0,0.0,0.0
268,800,128,64,OS,340,0,0,0.0,0.0
269,160,960,49,OS,418,0,0,0.0,0.0
270,576,576,2704,OS,101707,8679333,0,0.038117666967509026,0.0
271,96,576,196,OS,1687,0,0,0.0,0.0
272,576,64,49284,OS,1784475,455522769,0,0.06039632801658589,0.0
273,4608,512,25,OS,134,0,0,0.0,0.0
274,1024,1,1,OS,3,0,0,0.0,0.0
275,1440,320,100,OS,877,0,0,0.0,0.0
276,16,96,12544,OS,15696,39334848,0,0.06225679002541296,0.0
277,928,128,196,OS,2809,0,0,0.0,0.0
278,480,16,144,OS,1449,0,0,0.0,0.0
279,64,64,196,OS,935,0,0,0.0,0.0
280,2048,512,49,OS,362,0,0,0.0,0.0
281,1728,1728,225,OS,5115,188160,0,0.016592592592592593,0.0
282,2048,448,64,OS,380,0,0,0.0,0.0
283,464,464,49,OS,305,0,0,0.0,0.0
284,512,128,144,OS,1485,0,0,0.0,0.0
285,4032,384,36,OS,183,0,0,0.0,0.0
286,192,96,676,OS,8620,0,0,0.0,0.0
287,192,32,784,OS,9698,0,0,0.0,0.0
288,27,64,49284,OS,92457,455522769,0,0.06241137414731245,0.0
289,25088,1,1,OS,3,0,0,0.0,0.0
290,192,32,1225,OS,15130,0,0,0.0,0.0
291,864,208,100,OS,849,0,0,0.0,0.0
292,832,256,25,OS,93,0,0,0.0,0.0
293,116,116,784,OS,5996,0,0,0.0,0.0
294,1280,448,64,OS,380,0,0,0.0,0.0
295,960,128,196,OS,2809,0,0,0.0,0.0
296,256,1024,196,OS,3578,0,0,0.0,0.0
297,528,528,144,OS,1746,0,0,0.0,0.0
298,1344,192,187,OS,2515,0,0,0.0,0.0
299,832,160,25,OS,87,0,0,0.0,0.0
300,2048,192,64,OS,348,0,0,0.0,0.0
